state_measuring_network,Year,CO
Baden-Württemberg                                 ,2015,0.2763636363636363
Bavaria                                           ,2015,0.35294117647058826
Berlin                                            ,2015,0.39
Brandenburg                                       ,2015,0.255
Bremen                                            ,2015,0.24
Hamburg                                           ,2015,0.38999999999999996
Hesse                                             ,2015,0.385
Lower Saxony                                      ,2015,0.3925
Mecklenburg-West Pomerania                        ,2015,0.2733333333333334
Rhineland-Palatinate                              ,2015,0.3186666666666666
Saarland                                          ,2015,0.38666666666666666
Saxony-Anhalt                                     ,2015,0.30428571428571427
Thuringia                                         ,2015,0.27
UBA                                               ,2015,0.15
Baden-Württemberg                                 ,2016,0.2783333333333334
Bavaria                                           ,2016,0.3423529411764706
Berlin                                            ,2016,0.4
Brandenburg                                       ,2016,0.24
Bremen                                            ,2016,0.2525
Hamburg                                           ,2016,0.3733333333333333
Hesse                                             ,2016,0.3923076923076923
Lower Saxony                                      ,2016,0.40499999999999997
Mecklenburg-West Pomerania                        ,2016,0.26666666666666666
Rhineland-Palatinate                              ,2016,0.312
Saarland                                          ,2016,0.41333333333333333
Saxony-Anhalt                                     ,2016,0.3028571428571429
Thuringia                                         ,2016,0.3
UBA                                               ,2016,0.16
Baden-Württemberg                                 ,2017,0.30875
Bavaria                                           ,2017,0.3270588235294118
Berlin                                            ,2017,0.385
Brandenburg                                       ,2017,0.245
Bremen                                            ,2017,0.27499999999999997
Hamburg                                           ,2017,0.35000000000000003
Hesse                                             ,2017,0.37076923076923074
Lower Saxony                                      ,2017,0.38000000000000006
Mecklenburg-West Pomerania                        ,2017,0.25
Rhineland-Palatinate                              ,2017,0.29933333333333334
Saarland                                          ,2017,0.37666666666666665
Saxony-Anhalt                                     ,2017,0.2814285714285714
Thuringia                                         ,2017,0.28
UBA                                               ,2017,0.135
Baden-Württemberg                                 ,2018,0.2825
Bavaria                                           ,2018,0.3330769230769231
Berlin                                            ,2018,0.365
Brandenburg                                       ,2018,0.26
Bremen                                            ,2018,0.265
Hamburg                                           ,2018,0.3566666666666667
Hesse                                             ,2018,0.36538461538461536
Lower Saxony                                      ,2018,0.3614285714285714
Mecklenburg-West Pomerania                        ,2018,0.25
Rhineland-Palatinate                              ,2018,0.29571428571428576
Saarland                                          ,2018,0.39333333333333337
Saxony-Anhalt                                     ,2018,0.27142857142857146
Thuringia                                         ,2018,0.25
UBA                                               ,2018,0.1
Baden-Württemberg                                 ,2019,0.2675
Bavaria                                           ,2019,0.3161538461538461
Berlin                                            ,2019,0.35
Brandenburg                                       ,2019,0.22999999999999998
Bremen                                            ,2019,0.2225
Hamburg                                           ,2019,0.32
Hesse                                             ,2019,0.29000000000000004
Lower Saxony                                      ,2019,0.3575
Mecklenburg-West Pomerania                        ,2019,0.25
Rhineland-Palatinate                              ,2019,0.2935714285714286
Saarland                                          ,2019,0.3866666666666667
Saxony-Anhalt                                     ,2019,0.255
Thuringia                                         ,2019,0.23
UBA                                               ,2019,0.16
Baden-Württemberg                                 ,2020,0.2625
Bavaria                                           ,2020,0.29307692307692307
Berlin                                            ,2020,0.35
Brandenburg                                       ,2020,0.22999999999999998
Bremen                                            ,2020,0.2425
Hamburg                                           ,2020,0.33
Hesse                                             ,2020,0.29769230769230764
Lower Saxony                                      ,2020,0.32125000000000004
Mecklenburg-West Pomerania                        ,2020,0.2425
Rhineland-Palatinate                              ,2020,0.2621428571428572
Saarland                                          ,2020,0.37
Saxony-Anhalt                                     ,2020,0.24
UBA                                               ,2020,0.13
